"","Crime.Code.Description","Area.Name","Latitude","Longitude","count"
"1","THEFT PLAIN - PETTY ($950 & UNDER)","Southwest",34.0102,-118.3351,822
"2","SHOPLIFTING - PETTY THEFT ($950 & UNDER)","Devonshire",34.2564,-118.5536,731
"3","SHOPLIFTING - PETTY THEFT ($950 & UNDER)","Mission",34.2216,-118.4488,681
"4","SHOPLIFTING - PETTY THEFT ($950 & UNDER)","Devonshire",34.244,-118.5583,629
"5","SHOPLIFTING - PETTY THEFT ($950 & UNDER)","Central",34.048,-118.2577,627
"6","EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)","Pacific",33.9455,-118.3768,618
"7","SHOPLIFTING - PETTY THEFT ($950 & UNDER)","Topanga",34.1905,-118.6059,617
"8","SHOPLIFTING - PETTY THEFT ($950 & UNDER)","Van Nuys",34.1576,-118.438,608
"9","BATTERY - SIMPLE ASSAULT","Hollywood",34.1016,-118.3387,592
"10","THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036","Pacific",33.944,-118.4073,581
